customer_code,asm_area_name,asm_area_code,month,year,sec_netvalue,Bandhan_Net_Val,Wholesale_net_value,OtherPgrm_Net_Val,Non_Wholesale_net_value
1111,Gujarat South,GUJAS,5,2011,1181970.37,93897.2,462818.76,0,719151.61
1176,Hyderabad 1,HYDE1,5,2011,1982654.73,692355.38,1213934.27,0,768720.46
255,Hyderabad 2,HYDE2,9,2011,1602221.56,300357.22,300357.22,0,1301864.34
2363,Pune North,PUNEN,11,2012,668336.68,76429.72,338936.04,0,329400.64
1854,Bengaq North,BENGN,11,2013,4356061.621,0,3634926.235,0,721135.386
329,Pune South,PUNES,9,2012,469173.648,0,25031.198,0,444142.45
1448,Gujarat North,GUJAN,8,2011,3518657.61,1242165.65,1505461.76,0,2013195.85
1171,Pune North,PUNEN,11,2011,987934.48,56856.02,855018.56,0,132915.92
2204,Centraq UP,CENTU,5,2013,214351.319,91547.952,163897.584,0,50453.735
1036,Nagpur,NAGP,2,2011,8594498.88,3486912.95,3596352.85,0,4998146.03
395,Jharhhand,JHAR,4,2012,3258795.5,23876.1,2501685.38,0,757110.12
1190,Punjab,PUNJ,6,2011,6440763.4,2783660.79,4026464.57,0,2414298.83
1143,Gujarat South,GUJAS,6,2011,3868204.01,323026.32,1530891,0,2337313.01
2192,Pune South,PUNES,11,2013,1120852.3,0,663708.73,0,457143.57
2034,Centraq UP,CENTU,12,2012,815482.824,468359.049,700544.671,0,114938.153
129,Rajasthan,RAJA,12,2011,2294525.67,1355092.44,1656268.31,0,638257.36
774,Eastern UP,EASTU,10,2013,455171.262,0,400991.32,0,54179.942
1746,Deqhs Metro,DELHM,6,2011,2300553.31,868946.78,2123500.79,0,177052.52
48,Vsjaywada,VIJA,12,2011,1924918.25,950607.02,974803.47,0,950114.78
90,Nagpur,NAGP,4,2012,2190348.509,0,1446416.04,0,743932.469
1872,Bshar West,BIHAW,2,2012,1461814.25,0,389983.62,0,1071830.63
1806,Rajasthan,RAJA,3,2011,916524.96,142675.46,269381.34,0,647143.62
