asm_area_code,customer_code,Year,Month,Retailers,Invoices,Retailers_Univ,EC
BIHAW,746,2012,2,208,311,214,0.971962617
BIHAW,746,2012,3,206,306,209,0.985645933
BIHAW,746,2012,4,210,287,210,1.0
BIHAW,746,2012,5,209,313,210,0.995238095
BIHAW,746,2012,6,210,332,210,1.0
BIHAW,746,2012,7,206,383,210,0.980952381
BIHAW,746,2012,8,210,332,210,1.0
BIHAW,746,2012,9,308,417,335,0.919402985
BIHAW,746,2012,10,333,400,378,0.880952381
BIHAW,746,2012,11,263,384,383,0.686684073
BIHAW,746,2012,12,310,387,371,0.835579515
BIHAW,746,2013,1,379,620,384,0.986979167
BIHAW,746,2013,2,395,704,399,0.989974937
BIHAW,746,2013,3,318,493,399,0.796992481
BIHAW,746,2013,4,381,1008,400,0.9525
BIHAW,746,2013,5,380,1024,394,0.964467005
BIHAW,746,2013,6,378,936,381,0.992125984
BIHAW,746,2013,7,369,618,380,0.971052632
BIHAW,746,2013,8,368,1004,380,0.968421053
BIHAW,746,2013,9,360,770,380,0.947368421
BIHAW,746,2013,10,345,941,381,0.905511811
BIHAW,746,2013,11,376,1117,381,0.98687664
BIHAW,746,2013,12,365,1146,381,0.958005249
BIHAW,1360,2011,4,507,1279,521,0.973128599
BIHAW,1360,2011,5,450,945,522,0.8620689659999999
BIHAW,1360,2011,6,500,997,532,0.939849624
BIHAW,1360,2011,7,522,1295,529,0.986767486
BIHAW,1360,2011,8,488,1005,533,0.915572233
BIHAW,1360,2011,9,513,1121,535,0.958878505
BIHAW,1360,2011,10,513,1184,534,0.960674157
BIHAW,1360,2011,11,483,891,535,0.902803738
BIHAW,1360,2011,12,615,1516,620,0.991935484
BIHAW,1360,2012,1,714,1317,833,0.857142857
BIHAW,1360,2012,2,785,1607,1122,0.699643494
BIHAW,1360,2012,3,838,1360,1280,0.6546875
BIHAW,1360,2012,4,826,1776,1266,0.652448657
BIHAW,1360,2012,5,1126,1914,1367,0.823701536
BIHAW,1360,2012,6,1052,2005,1377,0.7639796659999999
BIHAW,1360,2012,7,1171,2315,1436,0.81545961
BIHAW,1360,2012,8,996,1975,1374,0.72489083
BIHAW,1360,2012,9,1095,2084,1379,0.794053662
BIHAW,1360,2012,10,1315,2501,1407,0.934612651
BIHAW,1360,2012,11,936,1602,1402,0.667617689
BIHAW,1360,2012,12,1195,2365,1434,0.833333333
BIHAW,1360,2013,1,1295,2915,1449,0.893719807
BIHAW,1360,2013,2,1054,2097,1464,0.719945355
BIHAW,1360,2013,3,828,1306,1448,0.571823204
BIHAW,1360,2013,4,765,1666,1297,0.5898226679999999
BIHAW,1360,2013,5,833,2240,1247,0.668003208
BIHAW,1360,2013,6,857,2121,1095,0.7826484020000001
BIHAW,1360,2013,7,616,1322,1019,0.60451423
BIHAW,1360,2013,8,1186,2902,1424,0.8328651690000001
BIHAW,1360,2013,9,1196,2780,1317,0.908124525
BIHAW,1360,2013,10,1220,3122,1403,0.869565217
BIHAW,1360,2013,11,1485,3937,1601,0.927545284
BIHAW,1360,2013,12,1280,3719,1587,0.806553245
BIHAW,1365,2011,4,1097,2120,1227,0.89405053
BIHAW,1365,2011,5,1134,2013,1267,0.895027624
BIHAW,1365,2011,6,1239,2078,1318,0.940060698
BIHAW,1365,2011,7,1249,2618,1365,0.915018315
BIHAW,1365,2011,8,367,415,1355,0.270848708
BIHAW,1365,2011,9,3,3,1271,0.002360346
BIHAW,1411,2011,4,151,272,164,0.920731707
BIHAW,1411,2011,5,142,221,170,0.835294118
BIHAW,1411,2011,6,141,232,168,0.8392857140000001
BIHAW,1411,2011,7,143,364,163,0.877300613
BIHAW,1411,2011,8,144,331,148,0.972972973
BIHAW,1411,2011,9,146,326,147,0.993197279
BIHAW,1411,2011,10,131,268,146,0.8972602740000001
BIHAW,1411,2011,11,127,172,146,0.8698630140000001
BIHAW,1411,2011,12,130,370,144,0.902777778
BIHAW,1411,2012,1,116,242,139,0.834532374
BIHAW,1411,2012,2,96,151,144,0.666666667
BIHAW,1411,2012,3,107,166,144,0.743055556
BIHAW,1411,2012,4,144,320,144,1.0
BIHAW,1411,2012,5,142,300,144,0.986111111
BIHAW,1411,2012,6,136,267,144,0.944444444
BIHAW,1411,2012,7,134,261,142,0.943661972
BIHAW,1411,2012,8,95,202,142,0.669014085
BIHAW,1411,2012,9,112,262,134,0.835820896
BIHAW,1411,2012,10,132,365,134,0.985074627
BIHAW,1411,2012,11,121,248,142,0.852112676
BIHAW,1411,2012,12,112,259,142,0.7887323940000001
BIHAW,1411,2013,1,142,267,142,1.0
BIHAW,1411,2013,2,142,218,143,0.993006993
BIHAW,1411,2013,3,140,219,143,0.979020979
BIHAW,1411,2013,4,123,401,142,0.8661971829999999
BIHAW,1411,2013,5,120,597,142,0.845070423
BIHAW,1411,2013,6,122,448,123,0.991869919
BIHAW,1411,2013,7,130,372,131,0.992366412
BIHAW,1411,2013,8,132,542,132,1.0
BIHAW,1411,2013,9,129,384,134,0.962686567
