customer_code,year,month,reason_code_description_new_new,order_qty_in_cases,allocated_qty_in_cases,non_allocated_qty_in_cases,simple avg allocated percent,simple avg allocated value percent,allocated_value,total_order_value
2414,2013,10,STONOTAVA,3.16,0.0,3.16,0.0,0.0,0.0,9873.36
47,2013,10,STONOTAVA,39.14,0.0,39.14,0.0,0.0,0.0,107236.68
356,2013,10,CREISS,50.02,0.0,50.02,0.0,0.0,0.0,173666.22
1436,2013,10,STONOTAVA,39.5,0.0,39.5,0.0,0.0,0.0,113798.46
1566,2013,10,STONOTAVA,166.1,0.0,166.1,0.0,0.0,0.0,568125.95
2439,2013,10,STONOTAVA,29.1,0.0,29.1,0.0,0.0,0.0,155130.98
390,2013,10,MOQNOTMET,22.36,0.0,22.36,0.0,0.0,0.0,80324.46
1989,2013,10,STONOTAVA,87.1,0.0,87.1,0.0,0.0,0.0,311242.54
304,2013,10,STONOTAVA,3.0,0.0,3.0,0.0,0.0,0.0,12551.76
1534,2013,10,NOTINV,9.0,0.0,9.0,0.0,0.0,0.0,12310.72
31,2013,10,CREISS,18.0,0.0,18.0,0.0,0.0,0.0,54802.8
192,2013,10,NOTINV,2.0,0.0,2.0,0.0,0.0,0.0,6959.52
2447,2013,10,STONOTAVA,2.0,0.0,2.0,0.0,0.0,0.0,10679.52
525,2013,10,NOTINV,3.0,0.0,3.0,0.0,0.0,0.0,7244.8
134,2013,10,STONOTAVA,16.0,0.0,16.0,0.0,0.0,0.0,55340.88
553,2013,10,STONOTAVA,8.17,0.0,8.17,0.0,0.0,0.0,19417.96
1845,2013,10,STONOTAVA,28.39,0.0,28.39,0.0,0.0,0.0,87924.48
1009,2013,10,STONOTAVA,16.0,0.0,16.0,0.0,0.0,0.0,41590.62
764,2013,10,STONOTAVA,7.0,0.0,7.0,0.0,0.0,0.0,23997.6
87,2013,10,STONOTAVA,23.0,0.0,23.0,0.0,0.0,0.0,104444.64
421,2013,10,STONOTAVA,38.0,0.0,38.0,0.0,0.0,0.0,49104.0
1743,2013,10,NOTINV,2.0,0.0,2.0,0.0,0.0,0.0,2374.72
126,2013,10,NOTINV,2.0,0.0,2.0,0.0,0.0,0.0,5487.84
2604,2013,10,CREISS,112.36,0.0,112.36,0.0,0.0,0.0,448729.12
52,2013,10,STONOTAVA,50.72,0.0,50.72,0.0,0.0,0.0,110527.56
1426,2013,10,STONOTAVA,44.78,0.0,44.78,0.0,0.0,0.0,105825.91
1038,2013,10,CREISS,6.0,0.0,6.0,0.0,0.0,0.0,28800.88
